study_hours,sleep_hours,screen_time_hours,mood,days_to_goal
5.2,7.3,1.8,great,71
4.9,7.4,1.8,great,73
5.4,7.0,1.9,great,81
5.5,7.2,1.8,great,78
5.7,7.3,1.2,great,56
5.4,7.6,1.8,great,67
5.4,7.3,1.7,great,68
5.5,7.1,1.4,great,76
5.3,7.5,1.5,great,75
5.8,7.7,1.2,great,46
5.7,7.6,1.6,great,49
5.2,7.5,1.5,great,80
5.8,7.4,0.8,great,50
6.0,7.4,1.3,great,61
5.3,7.7,0.9,great,51
5.4,7.5,1.1,great,65
5.5,7.2,1.3,great,65
5.6,7.8,0.7,great,44
5.7,7.4,0.5,great,51
6.3,7.7,0.6,great,30
5.9,7.7,1.0,great,43
5.9,7.9,0.6,great,34
6.1,7.5,0.9,great,44
6.6,7.5,1.2,great,42
6.1,7.7,0.9,great,46
5.9,7.8,0.7,great,49
6.2,7.9,0.8,great,31
6.6,7.8,0.9,great,35
6.6,8.0,0.8,great,36
6.7,7.6,0.7,great,29
6.8,7.5,0.6,great,30
6.4,7.6,0.8,great,45
6.7,8.1,1.0,great,21
7.0,7.8,1.0,great,30
6.7,7.6,1.1,great,25
7.3,8.1,0.9,great,26
7.3,8.1,0.7,great,21
6.5,8.0,0.7,great,31
7.2,8.0,1.0,great,29
6.7,7.8,0.4,great,29
7.2,8.3,0.6,great,21
7.4,8.3,0.7,great,21
6.9,8.3,0.7,great,21
6.9,8.3,0.6,great,21
7.4,8.2,1.3,great,21
7.5,7.8,0.8,great,21
7.3,8.0,1.3,great,21
7.3,8.1,1.3,great,30
1.2,5.1,6.0,very_low,351
1.5,4.9,5.8,very_low,321
2.0,4.9,6.1,very_low,327
1.8,4.7,6.3,very_low,331
1.4,5.1,5.7,very_low,334
1.5,4.8,6.3,very_low,339
1.4,5.3,5.7,very_low,332
1.4,4.8,5.9,very_low,329
1.9,4.8,5.7,very_low,326
1.6,5.0,5.8,very_low,315
2.0,5.2,6.3,very_low,322
2.1,5.2,5.7,very_low,307
2.2,4.9,6.3,very_low,331
1.9,5.2,6.4,very_low,317
1.8,5.1,6.2,very_low,327
2.2,4.9,5.7,very_low,312
1.5,5.1,6.1,very_low,335
1.7,5.6,6.0,very_low,316
2.0,5.0,6.1,very_low,330
2.0,5.5,6.1,very_low,306
1.8,5.1,5.7,very_low,315
1.8,5.1,5.8,very_low,323
1.7,5.1,6.1,very_low,318
2.1,5.1,5.4,very_low,307
2.1,5.5,5.8,very_low,305
1.7,5.2,5.6,very_low,319
2.1,5.7,5.8,very_low,312
1.9,5.4,5.6,very_low,300
1.9,5.3,5.2,very_low,307
1.7,5.7,5.5,very_low,312
2.1,5.9,5.7,very_low,297
1.9,5.2,5.7,very_low,320
1.6,5.3,5.5,very_low,309
1.6,5.2,5.5,very_low,317
1.7,5.4,5.3,very_low,294
2.0,5.4,5.1,very_low,289
1.6,5.8,5.3,very_low,303
1.3,5.4,4.7,very_low,305
1.9,5.5,5.1,very_low,293
1.7,5.5,5.1,very_low,290
1.6,5.6,5.0,very_low,297
1.8,5.4,4.7,very_low,291
1.2,5.6,4.5,very_low,288
1.5,5.7,4.3,very_low,289
1.4,5.7,4.8,very_low,297
2.0,6.0,4.2,very_low,271
1.3,5.5,4.9,very_low,314
1.7,5.9,4.6,very_low,279
1.3,5.5,4.3,very_low,299
1.8,6.1,4.7,very_low,267
2.0,5.7,4.4,very_low,272
1.6,5.8,4.2,very_low,272
1.4,6.0,4.0,very_low,274
2.1,5.9,4.4,very_low,273
2.0,5.8,3.9,very_low,252
1.8,6.2,4.3,very_low,259
2.0,6.0,4.4,very_low,273
1.7,6.3,4.2,very_low,268
1.9,6.3,4.2,very_low,251
1.4,6.0,4.0,very_low,268
1.4,6.1,4.0,very_low,271
1.4,6.3,3.8,very_low,274
2.2,6.2,4.1,very_low,250
1.9,6.3,4.4,very_low,263
2.2,6.3,4.0,very_low,246
1.6,5.9,3.8,very_low,276
1.8,6.3,4.1,very_low,252
1.8,6.2,4.1,very_low,262
1.7,6.1,3.9,very_low,260
1.9,6.3,4.4,very_low,268
1.7,6.0,4.3,very_low,267
2.3,6.4,4.5,very_low,263
2.0,6.3,3.9,very_low,247
2.6,6.4,4.1,very_low,239
2.7,6.2,4.1,very_low,244
2.6,6.5,4.5,very_low,250
2.5,6.4,4.4,very_low,244
2.3,6.3,4.0,very_low,237
2.9,6.4,4.1,low,210
2.1,6.6,4.0,very_low,251
2.9,6.7,3.9,low,206
2.9,6.2,4.2,very_low,226
3.0,6.6,4.6,very_low,226
2.7,6.4,4.5,very_low,237
2.7,6.3,4.6,very_low,246
2.9,6.4,4.6,very_low,239
3.2,6.4,4.8,very_low,248
2.9,6.4,4.3,very_low,234
3.4,6.7,4.7,low,205
2.8,6.6,4.7,very_low,243
2.8,6.8,4.7,very_low,233
3.4,6.4,4.7,very_low,220
3.2,6.9,4.2,low,203
3.2,6.3,4.0,low,210
3.1,7.0,4.3,low,196
3.8,6.9,4.5,low,202
3.1,6.5,4.6,very_low,238
3.2,6.8,4.3,low,196
3.2,6.5,4.6,very_low,231
3.8,6.7,4.0,steady,172
3.5,6.4,4.2,low,212
3.7,6.4,4.6,low,211
3.3,6.7,4.0,low,192
3.7,6.8,4.0,steady,176
4.0,6.4,4.5,low,188
3.9,6.7,4.5,low,197
3.9,6.7,4.2,steady,190
3.8,6.4,4.2,low,193
4.2,6.9,4.2,steady,173
3.9,6.5,4.0,steady,185
3.8,7.0,3.8,focused,163
4.3,7.0,3.5,strong,139
4.1,6.7,3.4,focused,142
3.8,7.1,3.7,focused,168
4.3,6.7,3.8,focused,143
4.1,7.0,3.9,focused,148
4.0,6.8,3.8,steady,172
4.7,6.8,3.9,strong,133
4.3,7.2,3.4,strong,136
4.6,6.6,3.4,strong,138
4.4,6.8,3.0,strong,128
4.2,7.0,3.2,strong,134
4.3,6.6,3.5,focused,143
4.9,6.8,3.5,strong,134
4.1,7.0,3.0,strong,137
4.6,7.3,2.7,great,103
4.7,6.6,2.6,great,114
4.4,6.9,3.0,strong,125
4.6,7.3,2.8,great,109
4.6,7.0,2.7,great,107
4.3,6.7,3.0,focused,137
4.4,7.0,2.5,great,99
4.4,7.4,2.5,great,111
4.5,6.8,2.9,strong,119
4.8,7.0,2.3,great,98
4.8,6.9,2.5,great,88
4.5,7.3,2.9,great,111
4.9,7.1,2.8,great,99
4.1,6.9,2.2,strong,125
4.0,7.1,2.4,strong,128
4.5,7.2,2.2,great,91
4.9,7.2,2.5,great,100
4.7,6.8,2.9,great,112
4.4,7.2,2.3,great,109
4.7,7.2,2.2,great,103
4.3,7.4,2.1,great,88
4.1,6.9,2.3,strong,124
4.2,7.4,2.8,strong,128
4.2,7.2,2.5,great,99
4.2,7.2,2.5,great,100
4.8,6.9,2.6,great,105
4.4,7.4,2.5,great,109
3.9,6.8,2.6,focused,141
4.5,7.4,2.5,great,102
4.3,7.3,2.4,great,114
4.3,7.4,2.7,great,102
3.9,6.9,2.5,strong,128
4.0,7.3,2.4,great,116
4.5,7.5,3.0,great,97
4.2,7.2,2.5,great,108
4.1,7.0,2.3,great,105
4.2,7.3,2.5,great,116
4.0,7.1,2.7,strong,122
4.5,7.2,2.7,great,104
4.1,6.9,3.1,focused,141
4.7,7.0,2.6,great,90
4.3,7.5,2.9,strong,117
4.4,7.5,2.7,great,112
4.6,7.4,2.7,great,97
4.4,7.1,2.8,strong,107
4.4,7.5,2.6,great,113
4.6,7.0,3.2,great,109
4.7,7.2,3.1,great,113
4.2,7.3,2.8,strong,109
4.1,7.2,2.8,strong,123
4.6,7.3,2.6,great,102
4.2,7.6,2.9,strong,114
4.4,7.5,2.8,great,110
4.4,7.5,2.6,great,106
5.0,7.4,2.9,great,101
4.8,7.0,2.7,great,111
4.9,7.5,2.7,great,99
4.8,7.1,2.7,great,102
5.0,7.1,2.7,great,84
5.2,7.1,2.2,great,79
4.5,7.5,2.5,great,104
5.2,7.6,2.7,great,76
4.6,7.2,2.3,great,99
5.0,7.2,2.1,great,95
4.9,7.3,2.6,great,99
5.2,7.5,2.4,great,76
4.9,7.4,2.0,great,94
5.0,7.2,2.0,great,88
5.0,7.3,2.5,great,97
5.0,7.1,2.2,great,84
5.7,7.6,2.4,great,80
5.2,7.3,2.2,great,78
5.4,7.3,1.9,great,66
5.5,7.7,2.0,great,60
5.6,7.5,1.6,great,67
5.6,7.5,1.4,great,57
5.8,7.2,1.9,great,55
5.7,7.8,1.6,great,68
6.1,7.4,1.3,great,61
5.6,7.6,1.9,great,57
5.9,7.5,1.6,great,68
6.3,7.3,1.7,great,46
6.4,7.8,1.3,great,40
6.4,7.8,1.7,great,56
5.6,7.5,0.9,great,63
5.9,7.8,1.2,great,47
6.6,7.8,1.1,great,26
5.9,7.3,1.1,great,45
6.0,7.7,1.3,great,50
6.6,7.3,1.3,great,51
6.7,7.5,0.7,great,32
6.2,7.3,0.8,great,35
6.3,7.4,1.2,great,55
6.4,7.7,0.5,great,32
6.8,7.3,0.6,great,22
6.5,7.6,1.2,great,44
6.5,7.3,1.2,great,37
6.8,7.4,0.6,great,21
7.0,7.7,0.8,great,23
6.8,7.6,1.0,great,23
6.6,7.8,1.1,great,23
6.8,7.8,0.5,great,21
6.5,7.7,0.8,great,33
6.6,7.5,0.8,great,22
6.7,7.7,0.5,great,23
7.2,7.6,0.8,great,21
6.6,7.6,1.1,great,41
6.9,7.9,1.0,great,27
6.6,7.6,0.5,great,37
7.4,7.4,1.2,great,21
7.0,7.9,1.1,great,37
7.2,7.6,1.3,great,25
7.4,8.0,0.8,great,21
7.2,7.7,1.1,great,21
6.8,7.8,1.0,great,34
6.9,7.4,0.6,great,21
7.3,7.8,1.0,great,27
6.9,7.6,0.8,great,35
7.3,7.5,1.3,great,25
7.4,8.0,0.7,great,21
6.8,7.5,1.1,great,38
6.7,8.0,1.0,great,22
6.9,8.1,0.7,great,21
6.9,8.0,1.3,great,25
7.2,7.9,1.0,great,21
1.0,4.7,5.9,very_low,345
0.9,4.9,6.5,very_low,365
1.4,4.6,6.2,very_low,358
1.7,4.8,6.4,very_low,336
1.2,4.4,6.1,very_low,360
1.2,4.9,6.0,very_low,348
1.5,5.0,6.2,very_low,349
1.3,4.4,5.9,very_low,339
1.3,5.0,6.4,very_low,338
1.4,4.5,5.9,very_low,346
1.3,5.0,5.8,very_low,340
1.4,4.8,6.1,very_low,350
1.0,5.1,5.7,very_low,349
1.6,4.5,6.4,very_low,347
0.9,4.9,5.8,very_low,356
1.2,5.0,5.9,very_low,340
1.0,4.6,5.9,very_low,351
0.8,5.2,5.9,very_low,354
1.5,4.7,5.8,very_low,335
0.9,4.6,5.6,very_low,357
1.2,4.8,5.5,very_low,329
1.0,5.1,5.7,very_low,342
1.3,4.7,5.9,very_low,352
1.2,4.9,5.4,very_low,336
0.8,5.1,5.6,very_low,351
1.2,5.0,5.2,very_low,312
1.4,5.2,5.6,very_low,330
1.0,5.2,5.2,very_low,330
0.7,5.0,5.2,very_low,339
1.3,5.1,5.3,very_low,321
0.7,5.0,4.8,very_low,328
1.0,5.3,4.8,very_low,322
1.3,5.2,5.4,very_low,312
0.8,4.8,4.8,very_low,329
1.5,4.9,4.9,very_low,307
1.1,5.1,5.3,very_low,320
1.4,5.3,5.0,very_low,317
1.5,4.8,4.7,very_low,308
0.9,4.8,4.5,very_low,319
1.3,5.3,4.8,very_low,315
1.0,5.2,4.3,very_low,298
1.7,5.4,4.6,very_low,278
1.0,5.5,4.9,very_low,315
1.0,5.5,4.4,very_low,313
1.5,5.4,4.7,very_low,295
1.1,5.0,4.2,very_low,311
1.4,5.5,4.3,very_low,295
1.3,5.6,4.6,very_low,297
2.0,5.0,4.3,very_low,289
1.5,5.5,4.7,very_low,293
2.0,5.0,4.1,very_low,289
1.7,5.2,4.6,very_low,291
2.0,5.5,3.9,very_low,267
2.1,5.5,3.9,very_low,253
2.1,5.5,4.4,very_low,268
1.6,5.0,4.1,very_low,284
1.8,5.2,4.0,very_low,275
2.1,5.4,3.8,very_low,258
1.7,5.5,4.1,very_low,274
2.0,5.4,3.9,very_low,276
2.6,5.8,4.3,very_low,244
2.2,5.2,4.0,very_low,266
1.9,5.5,4.2,very_low,273
2.0,5.4,4.0,very_low,271
2.5,5.3,3.9,very_low,250
2.9,5.5,4.3,very_low,256
2.4,5.5,4.5,very_low,275
3.0,5.4,4.1,very_low,254
2.4,5.5,4.7,very_low,282
2.5,5.8,4.3,very_low,256
2.5,5.6,4.6,very_low,262
2.5,5.7,4.4,very_low,259
3.1,5.7,4.7,very_low,248
3.1,5.7,4.2,very_low,242
3.3,5.9,4.3,very_low,231
3.2,5.6,4.5,very_low,248
3.4,5.5,4.8,very_low,246
3.1,5.8,4.8,very_low,254
3.2,6.0,4.4,very_low,244
3.3,5.9,4.1,low,223
3.4,5.8,4.6,very_low,226
3.8,6.0,4.4,low,214
3.8,5.8,4.1,low,199
3.4,5.9,4.6,very_low,237
3.4,5.9,4.7,very_low,239
3.5,5.8,4.1,low,203
3.5,6.3,4.2,low,217
3.3,5.9,4.5,very_low,228
3.6,6.0,4.5,low,220
3.5,5.9,4.7,very_low,225
4.0,6.2,4.6,low,196
4.1,5.9,4.2,low,189
3.8,6.4,4.2,low,194
3.5,6.2,4.4,low,201
3.9,5.9,4.5,low,206
4.0,5.9,4.6,low,216
3.4,5.9,4.6,very_low,227
3.7,6.2,4.1,low,209
3.9,6.3,4.4,low,203
4.0,6.1,4.5,low,206
4.2,6.4,4.0,steady,174
3.5,6.0,3.9,low,201
3.6,6.4,4.1,low,198
3.6,6.2,3.8,low,201
4.1,6.4,4.4,steady,184
3.9,6.1,3.8,steady,180
3.5,6.3,3.5,steady,175
4.2,6.7,3.9,steady,164
4.1,6.4,4.1,steady,176
3.6,6.1,4.0,low,198
3.7,6.5,3.4,steady,172
4.1,6.7,3.7,steady,155
3.6,6.7,3.8,steady,176
4.2,6.2,3.7,steady,171
4.4,6.3,3.7,focused,159
3.7,6.9,3.4,steady,163
4.2,6.5,3.7,steady,171
3.7,6.8,3.4,steady,165
4.1,6.7,3.0,focused,134
3.6,6.4,2.8,focused,154
3.7,6.7,3.0,focused,158
3.7,6.5,3.4,steady,185
4.0,6.4,3.4,steady,174
4.2,7.1,3.3,strong,122
4.2,6.6,3.1,focused,151
4.0,6.9,2.9,focused,142
3.6,6.7,2.8,focused,156
4.1,6.5,2.8,focused,137
4.2,6.7,3.1,focused,137
3.3,7.0,2.9,focused,163
3.7,7.0,2.6,strong,123
3.8,6.7,2.6,focused,137
3.6,7.1,2.5,strong,135
3.8,6.9,2.5,focused,143
3.3,6.6,2.8,steady,171
3.4,7.2,2.5,strong,126
4.2,6.8,2.7,strong,116
3.9,6.7,2.9,focused,141
3.9,6.8,2.5,focused,148
3.5,6.9,2.4,focused,150
3.5,7.1,2.7,strong,128
3.7,6.8,2.3,focused,144
3.3,7.2,2.8,focused,165
3.7,6.8,2.2,strong,127
4.0,6.8,2.4,strong,135
3.5,7.3,2.8,strong,130
4.3,6.9,2.6,strong,107
4.0,7.1,2.8,strong,131
3.5,7.1,2.8,focused,158
3.5,6.9,2.8,focused,154
3.8,7.5,2.5,strong,116
3.7,6.9,2.7,focused,147
4.0,7.5,2.8,strong,132
4.1,7.1,2.7,strong,124
4.2,7.1,2.4,great,117
4.4,7.3,2.4,great,100
4.1,7.3,3.1,strong,140
4.5,7.1,3.1,great,113
4.0,7.5,3.0,strong,138
4.4,7.0,2.5,great,99
3.8,7.1,3.1,focused,146
4.4,7.4,2.8,great,111
3.9,7.5,2.9,strong,123
4.2,7.5,2.6,great,114
4.4,7.4,3.0,strong,125
4.6,7.2,3.0,great,112
4.8,7.2,2.5,great,93
4.5,7.6,2.7,great,105
4.8,7.3,3.0,great,107
4.3,7.9,2.9,great,112
4.9,7.3,2.6,great,100
4.5,7.8,3.1,great,93
5.1,7.4,2.5,great,93
4.9,7.3,2.8,great,94
4.9,7.7,2.7,great,85
4.6,7.7,3.0,great,95
5.0,7.3,3.0,great,92
5.0,7.6,2.5,great,98
5.4,7.7,3.0,great,93
5.1,7.6,2.6,great,92
5.0,7.4,2.5,great,89
5.7,7.5,2.8,great,92
5.8,7.4,2.5,great,70
5.7,7.6,2.5,great,63
5.2,7.8,2.3,great,81
5.5,7.8,2.4,great,81
5.3,8.1,2.6,great,72
5.2,7.7,2.1,great,72
6.0,8.1,2.6,great,54
5.9,8.1,2.4,great,55
5.8,7.7,2.1,great,55
6.3,8.0,1.8,great,58
6.2,7.9,2.2,great,55
6.4,7.6,1.7,great,40
6.3,7.6,2.0,great,54
6.4,7.7,1.7,great,43
6.3,8.1,2.0,great,46
5.9,7.6,1.5,great,61
6.2,7.7,1.4,great,46
6.1,8.0,2.0,great,48
6.0,7.8,1.3,great,39
6.4,8.2,1.7,great,32
6.6,7.9,1.1,great,26
6.2,8.0,1.6,great,41
6.8,7.7,1.3,great,33
6.6,7.8,1.3,great,44
6.1,7.7,1.5,great,62
6.1,8.3,1.1,great,40
6.6,8.1,1.0,great,36
6.0,7.8,1.5,great,49
6.1,8.4,1.4,great,37
6.1,8.1,0.8,great,36
6.8,8.0,0.7,great,26
6.2,7.9,0.8,great,29
6.9,7.8,1.1,great,22
6.4,8.1,1.0,great,22
6.4,7.9,0.7,great,39
6.6,8.2,1.2,great,38
7.0,8.4,0.8,great,21
6.6,8.5,0.9,great,21
6.3,8.0,0.7,great,40
6.8,7.9,1.3,great,33
6.8,8.5,1.3,great,21
6.7,8.0,1.2,great,41
6.2,8.6,0.7,great,34
6.8,8.1,1.2,great,37
6.3,8.3,1.2,great,40
6.9,7.9,1.1,great,38
6.6,8.3,0.7,great,33
6.9,8.2,0.8,great,21
6.2,8.1,0.8,great,33
6.1,8.6,0.8,great,21
6.7,8.6,1.3,great,23
6.1,8.3,1.4,great,49
6.8,8.5,1.4,great,25
6.9,8.2,0.8,great,21
6.1,8.1,1.5,great,53
6.9,8.4,0.9,great,30
6.6,8.6,1.4,great,24
6.5,8.1,1.0,great,35
6.1,8.5,1.5,great,53
6.3,8.7,1.6,great,27
6.5,8.6,1.6,great,29
6.5,8.7,0.9,great,29
6.2,8.7,0.9,great,37
6.0,8.5,1.3,great,50
6.3,8.2,1.0,great,23
6.2,8.1,0.8,great,30
6.6,8.7,1.5,great,31
6.3,8.4,0.9,great,29
0.9,5.3,6.4,very_low,345
0.2,5.4,6.1,very_low,359
1.0,4.9,6.0,very_low,345
0.8,5.2,6.5,very_low,350
0.7,5.3,6.2,very_low,343
1.0,5.0,6.5,very_low,350
0.2,5.0,5.9,very_low,365
0.8,5.4,6.0,very_low,340
0.4,4.9,6.2,very_low,365
0.3,5.2,6.0,very_low,357
0.8,5.3,5.8,very_low,331
0.4,5.1,5.7,very_low,363
0.5,5.2,6.0,very_low,360
0.3,5.3,5.7,very_low,363
0.6,5.2,5.7,very_low,346
0.5,5.1,5.5,very_low,353
0.9,5.0,5.7,very_low,343
1.2,5.4,5.8,very_low,338
1.1,5.2,5.8,very_low,345
0.8,5.6,5.7,very_low,325
1.3,5.5,5.6,very_low,331
1.2,5.4,5.7,very_low,318
1.2,5.1,5.9,very_low,348
1.3,5.1,5.4,very_low,335
1.0,5.7,5.5,very_low,331
0.9,5.6,5.7,very_low,322
1.0,5.3,5.1,very_low,316
1.2,5.6,5.4,very_low,320
1.3,5.3,5.1,very_low,305
1.4,5.5,5.5,very_low,326
1.4,5.1,4.9,very_low,310
1.2,5.3,4.9,very_low,311
1.5,5.1,4.8,very_low,296
1.6,5.5,4.5,very_low,297
1.4,5.2,5.0,very_low,320
2.0,5.1,5.0,very_low,291
1.5,5.4,4.9,very_low,292
2.0,5.2,5.1,very_low,294
2.1,5.3,4.6,very_low,284
1.5,5.2,4.9,very_low,311
2.1,5.7,4.8,very_low,278
1.6,5.3,4.5,very_low,283
2.3,5.7,4.1,very_low,249
2.3,5.7,4.3,very_low,260
2.5,5.6,4.2,very_low,263
2.2,5.5,4.1,very_low,252
2.1,5.5,4.1,very_low,274
2.3,5.4,4.1,very_low,271
2.5,5.6,4.2,very_low,253
2.1,5.5,4.7,very_low,288
2.6,5.6,4.1,very_low,248
2.1,5.7,4.5,very_low,259
2.9,5.6,4.4,very_low,237
2.4,5.7,4.1,very_low,265
2.8,5.5,4.2,very_low,245
2.5,5.5,4.4,very_low,269
2.6,5.2,4.3,very_low,266
3.1,5.4,4.4,very_low,250
2.6,5.3,4.0,very_low,265
3.0,5.8,4.1,very_low,241
3.3,5.4,4.1,very_low,241
3.3,5.8,4.6,very_low,242
3.1,5.7,4.6,very_low,250
3.5,5.4,4.3,very_low,231
2.6,5.7,4.5,very_low,250
3.3,5.4,4.5,very_low,251
3.5,5.7,4.4,very_low,239
3.5,5.9,4.2,low,204
2.8,5.4,4.7,very_low,268
2.9,5.7,4.4,very_low,237
